ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
2941190904,2026-07-09T09:12:07,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.476,4109.308,,,,,-0.83,-6.24,,so
2941190903,2026-07-09T09:12:07,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.476,4109.308,,,,,-0.83,-6.24,,so
2941190902,2026-07-09T09:12:07,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.476,4109.308,,,,,-0.83,-6.24,,so
2941191615,2026-07-09T09:12:15,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.471,4109.308,,,,,-0.84,-6.24,,so
2941191614,2026-07-09T09:12:15,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.471,4109.308,,,,,-0.84,-6.24,,so
2941191612,2026-07-09T09:12:15,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.471,4109.308,,,,,-0.84,-6.24,,so
2941191610,2026-07-09T09:12:15,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.471,4109.308,,,,,-0.84,-6.24,,so
2941190641,2026-07-09T09:12:05,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.412,4109.308,,,,,-0.9,-6.24,,so
2941190616,2026-07-09T09:12:04,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.412,4109.358,,,,,-0.95,-7.99,,so
2941191298,2026-07-09T09:12:12,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.374,4109.358,,,,,-0.99,-7.99,,so
2941190867,2026-07-09T09:12:06,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.338,4109.358,,,,,-1.02,-5.77,,so
2941190866,2026-07-09T09:12:06,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.338,4109.358,,,,,-1.02,-5.71,,so
2941191456,2026-07-09T09:12:13,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.259,4109.298,,,,,-1.04,-5.65,,so
2941191325,2026-07-09T09:12:12,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.259,4109.298,,,,,-1.04,-5.65,,so
2941191315,2026-07-09T09:12:12,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.259,4109.238,,,,,-0.98,-3.19,,so
2941190572,2026-07-09T09:12:04,2026-07-09T09:12:20,sell,0.01,0.01,XAUUSDm,4108.251,4109.174,,,,,-0.92,-0.25,,so
2941134757,2026-07-09T08:58:14,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.6,4108.661,,,,,0.06,-0.8,,so
2941134753,2026-07-09T08:58:14,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.6,4108.661,,,,,0.06,-0.8,,so
2941134721,2026-07-09T08:58:14,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.6,4108.661,,,,,0.06,-0.8,,so
2941134809,2026-07-09T08:58:15,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.605,4108.661,,,,,0.05,-0.8,,so
2941134808,2026-07-09T08:58:15,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.605,4108.661,,,,,0.05,-0.8,,so
2941134807,2026-07-09T08:58:15,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.605,4108.661,,,,,0.05,-0.8,,so
2941134801,2026-07-09T08:58:15,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.605,4108.661,,,,,0.05,-0.8,,so
2941134805,2026-07-09T08:58:15,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.605,4108.661,,,,,0.05,-0.8,,so
2941134618,2026-07-09T08:58:14,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.65,4108.661,,,,,0.01,-0.8,,so
2941135138,2026-07-09T08:58:19,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.788,4108.661,,,,,-0.13,-0.8,,so
2941135127,2026-07-09T08:58:19,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.788,4108.661,,,,,-0.13,-0.8,,so
2941135126,2026-07-09T08:58:19,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.788,4108.661,,,,,-0.13,-0.8,,so
2941135123,2026-07-09T08:58:19,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.788,4108.661,,,,,-0.13,-0.8,,so
2941135122,2026-07-09T08:58:19,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.788,4108.661,,,,,-0.13,-0.8,,so
2941134512,2026-07-09T08:58:14,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.801,4108.661,,,,,-0.14,-0.8,,so
2941134876,2026-07-09T08:58:16,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.805,4108.661,,,,,-0.15,-0.8,,so
2941134875,2026-07-09T08:58:16,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.805,4108.661,,,,,-0.15,-0.8,,so
2941134874,2026-07-09T08:58:16,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.805,4108.661,,,,,-0.15,-0.8,,so
2941134819,2026-07-09T08:58:15,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.805,4108.661,,,,,-0.15,-0.8,,so
2941134873,2026-07-09T08:58:16,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.805,4108.661,,,,,-0.15,-0.8,,so
2941135176,2026-07-09T08:58:20,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.852,4108.661,,,,,-0.19,-0.8,,so
2941134405,2026-07-09T08:58:12,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.853,4108.661,,,,,-0.19,-0.8,,so
2941134400,2026-07-09T08:58:12,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.853,4108.661,,,,,-0.19,-0.8,,so
2941134387,2026-07-09T08:58:12,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.853,4108.661,,,,,-0.19,-0.8,,so
2941134386,2026-07-09T08:58:12,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.853,4108.661,,,,,-0.19,-0.8,,so
2941134920,2026-07-09T08:58:16,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.869,4108.661,,,,,-0.21,-0.8,,so
2941134918,2026-07-09T08:58:16,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.869,4108.661,,,,,-0.21,-0.8,,so
2941134990,2026-07-09T08:58:17,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.877,4108.661,,,,,-0.22,-0.8,,so
